video,start_frame,x_GT,y_GT,stationary_x,stationary_y,velocity_x,velocity_y,gru_x,gru_y,stationary_error_cm,velocity_error_cm,gru_error_cm
bug_clip5.mp4,463,22.400273393811357,14.092084006462033,16.959773828756056,11.943780290791596,11.520032310177712,1.5077544426494285,16.613578309785566,16.457162248799406,5.849294348221016,16.63565437873237,6.251354660220927
bug_clip5.mp4,565,30.51137069715421,19.55001864048714,28.6670436187399,5.794507269789984,41.91163166397415,13.510662358642978,28.12817119795209,16.533887152602485,13.878603511937031,12.901153995307892,3.844045916115796
bug_clip5.mp4,668,11.939232011929908,29.85945072697899,22.62617124394184,30.50985460420032,14.170920840064628,30.50985460420032,13.195020807540473,29.69006608863254,10.706712630505235,2.3245344112587056,1.2671608638562
bug_clip5.mp4,771,0.5685348577109471,5.2987448738660365,1.4880452342487882,16.19111470113085,2.7888529886914375,2.769143780290783,0.45425273852124914,4.9062741173295805,10.931112467927026,3.3658125757947093,0.40877095971067523
bug_clip5.mp4,873,29.67751957251149,1.281098546042003,25.040549273021,0.1773828756058157,39.5859450726979,0.05912762520193848,28.498695606715458,9.720447946711772,4.766516740715732,9.983491815197883,8.521281843063301
bug_clip5.mp4,976,25.129240710823904,1.9633403752951448,28.509369951534723,2.739579967689822,27.711147011308544,2.384814216478192,27.959992808151696,2.6771304751756886,3.468114990698744,2.616081104110473,2.9193584471957483
bug_clip5.mp4,1078,27.78240338014166,11.742139927923452,15.06768982229402,9.322455573505652,9.953150242326327,20.586268174474952,18.04437987623384,7.30738298935343,12.94290590374236,19.902283082444285,10.70028835437887
bug_clip5.mp4,1181,23.0067105753697,17.95812103889648,28.036348949919216,19.10807754442649,40.48271405492728,26.35121163166397,25.715996157179347,16.220277804588843,5.159424594211248,19.38697158701974,3.2187462576025583
bug_clip5.mp4,1284,20.12613396296756,22.506399900584068,21.65056542810985,20.64539579967689,15.589983844911153,11.539741518578342,21.65625881162473,24.64486484150123,2.4056657198183617,11.867782183759509,2.629508386754067
bug_clip5.mp4,1386,11.560208773455942,14.850130483409965,15.994022617124392,19.916155088852985,26.932633279483035,13.146042003231027,16.250216612600163,20.08989067764197,6.7322589450540375,15.46658827090774,7.032159015856544
bug_clip5.mp4,1489,12.924692431962216,2.721386852243074,16.79224555735056,8.48481421647819,32.90452342487883,6.14927302100161,13.09484212641184,7.076459576471171,6.940825754945538,20.271754983017072,4.358395272555811
bug_clip5.mp4,1592,19.06486889524046,1.735926432210764,28.765589660743125,1.8625201938610656,27.346526655896582,1.8033925686591261,31.22850317392672,9.028579211042462,9.701546750428172,8.281932560954784,14.182270037558624
bug_clip5.mp4,1694,23.309929166148876,5.677768112340004,14.831179321486266,3.853150242326332,-2.020193861066252,11.924071082390952,18.836142719466004,5.638884538171364,8.672855890647526,26.088913993639547,4.473955420303548
bug_clip5.mp4,1797,27.706598732446867,30.08686467006337,30.0762520193861,22.62617124394184,35.13166397415184,32.08659127625203,29.288644170741843,29.510641706740913,7.827975670559722,7.689635904454395,1.683716327737561
bug_clip5.mp4,1899,3.145892879333911,30.617497203926927,4.523263327948302,30.38174474959612,-5.764943457189017,30.115670436187408,1.5025042222659293,27.588844187309743,1.3974006485039319,8.92495570415435,3.4457895137753374
bug_clip5.mp4,2002,2.463651050080775,29.480427488505036,3.2224555735056533,28.72617124394183,1.4190630048465254,28.046203554119522,3.586062980121864,27.676050294196653,1.06990036322671,1.7743061962949276,2.1249907294006616
bug_clip5.mp4,2105,1.1749720392692924,2.114949670684726,0.9460420032310176,7.499353796445879,0.5025848142164782,-2.907108239095315,1.129989164071052,0.8206605019207327,5.389268665683147,5.066869865074345,1.295070620252382
bug_clip5.mp4,2207,3.449111470113085,1.9633403752951448,2.434087237479805,1.872374798061389,1.7245557350565393,3.734894991922455,3.5168388692165604,2.909919644596118,1.0190922083277105,2.4723467076868406,0.9489991115168054
bug_clip5.mp4,2310,29.071082390953144,18.41294892506524,27.8983844911147,5.75508885298869,43.36025848142164,12.732148626817445,25.700125137477006,14.560926484214276,12.71206678587535,15.376997280775878,5.118733211409129
bug_clip6.mp4,463,3.292501616031021,7.429487179487162,5.407983193277299,3.853081232492989,0.15378151260504058,-6.937254901960768,5.88047320592302,4.224537348930901,4.1552306556151235,14.705605799235105,4.1193810659455545
bug_clip6.mp4,565,9.864361129066989,9.99251238957119,8.17605042016805,7.193557422969173,18.966386554621813,5.220028011204479,8.68479543483556,7.669130068633388,3.2687217616140005,10.27732815420432,2.6056631854969274
bug_clip6.mp4,668,12.493104934281376,20.2446132299073,12.968907563025184,14.848459383753468,25.24579831932769,10.38879551820726,10.159804074103064,14.982319703606297,5.417090037361418,16.117330155434065,5.756390019887317
bug_clip6.mp4,771,11.047295841413462,8.875296272355078,10.901400560224063,10.021428571428547,5.211484593837508,19.837815126050366,13.192554706418521,8.254527912821064,1.1553807511174707,12.419078570286874,2.233268670375633
bug_clip6.mp4,873,13.54460245636713,4.143557422969178,12.02058823529409,3.6480392156862655,0.8970588235294024,6.185434173669451,13.445446924602257,3.7375947399758735,1.6025472348051826,12.811308309832548,0.4178965415778136
bug_clip6.mp4,976,17.42199956905835,5.78652230122817,18.103501400560184,5.732633053221276,31.04677871148453,4.553641456582625,19.01524438580875,6.071799992479852,0.6836291373186941,13.680445967035775,1.6185834569857382
bug_clip6.mp4,1078,21.89086403792281,4.603587588881699,28.40686274509797,1.8453781512605,28.740056022408897,2.5373949579831874,31.5850303266562,9.074417820297365,7.0757302417270695,7.154060583216204,10.675447671725768
bug_clip6.mp4,1181,22.876642964878208,13.015567765567738,23.64817927170863,6.578431372549005,28.876750700280052,-6.518627450980379,23.07437215138545,8.598270420934625,6.483208558660114,20.43492294075611,4.421720554501332
bug_clip6.mp4,1284,14.793255763843964,9.861075199310475,13.95140056022406,12.199999999999973,20.871568627450934,27.501260504201618,14.190770414555077,7.875970554351779,2.4858176536388013,18.658028429037923,2.0745189918495184
bug_clip6.mp4,1386,19.196401637578063,3.1577784960137825,12.883473389355714,6.364845938375336,4.91246498599439,13.541316526610615,14.136183493344362,5.905831910064561,7.080843498274706,17.659238610407474,5.7582640816228725
bug_clip6.mp4,1489,14.398944193061809,2.763466925231626,24.280392156862693,7.210644257703064,42.06778711484585,7.492577030812304,22.22210668208547,6.373054040112732,10.836069402128818,28.07007928419626,8.615740854365491
bug_clip6.mp4,1592,30.23712561947849,29.839528118939818,29.227030812324863,19.214145658263263,31.687535014005537,34.51540616246491,30.45306104284702,30.060461995848712,10.67328646458492,4.895663682244971,0.30893346376095265
bug_clip6.mp4,1694,30.17140702434813,29.773809523809454,29.27829131652654,28.71442577030806,96.66022408963562,102.73459383753479,26.811742873685965,32.93525334980635,1.385622461112824,98.71189818059023,4.613249426399839
bug_clip6.mp4,1797,29.57993966817489,30.36527687998269,30.388935574229627,28.73151260504195,31.465406162464934,28.93655462184866,30.833226510222822,29.131662635893314,1.823090804673747,2.365635473182203,1.7585596412037556
bug_clip6.mp4,1899,29.51422107304453,30.496714070243414,28.116386554621783,30.13263305322122,28.47521008403354,31.029691876750626,27.46068056621465,29.732011728443617,1.4444709508501965,1.1677367757824682,2.191300592056057
bug_clip6.mp4,2002,29.57993966817489,30.562432665373773,28.32142857142851,30.969887955182003,28.32142857142851,30.969887955182003,28.531256992902012,31.629030449383663,1.3228265169048017,1.3228265169048017,1.495782800500223
bug_clip6.mp4,2105,29.57993966817489,30.430995475113058,28.57773109243691,29.859243697478924,28.57773109243691,29.859243697478924,28.817991380556226,30.292401886537228,1.153829330755006,1.153829330755006,0.7744503701331303
bug_clip6.mp4,2207,27.27978883861231,28.3937190260719,27.176610644257643,24.67338935574224,19.051820728291283,16.292296918767452,28.114185209668257,25.54731182297399,3.721760147527709,14.633655600827039,2.966184631791991
bug_clip6.mp4,2310,27.80553759965518,30.36527687998269,27.07408963585429,29.842156862745032,24.229131652661046,40.73501400560216,28.28562640095286,29.02619031620954,0.8992611835185594,10.969144340017856,1.4225463375262077
