video,frame,time_s,center_x_px,center_y_px,axis1_x_px,axis1_y_px,axis2_x_px,axis2_y_px,x_GT,y_GT,theta_GT,x_cm,y_cm,theta,detected,position_error_cm,orientation_error_deg
bug_clip5.mp4,526,17.533333333333335,474,897,481,856,467,935,12.022617124394182,5.37075928917609,100.04934858812489,11.874798061389336,5.124394184168012,97.5298080444336,1,0.2873086151741221,2.519540543691292
bug_clip5.mp4,602,20.066666666666663,856,559,861,517,848,606,30.844911147011302,22.02504038772213,98.3102771675242,30.697092084006457,21.581583198707587,102.38783264160156,1,0.4674449206872498,4.077555474077357
bug_clip5.mp4,675,22.5,637,394,592,401,681,389,20.054119547657507,30.155088852988687,172.3210361926313,20.15266558966074,30.2043618739903,165.1710205078125,1,0.11017782441638713,7.150015684818811
bug_clip5.mp4,887,29.566666666666663,815,993,779,969,851,1017,28.824717285945063,0.6405492730210015,33.690067525979785,27.445072697899832,0.492730210016155,38.49970245361328,1,1.3875408695638936,4.809634927633496
bug_clip5.mp4,1009,33.63333333333333,710,944,671,917,742,969,23.65105008077544,3.054927302100161,36.21883726561454,23.50323101777059,3.0056542810985456,33.71686172485352,1,0.15581497356241888,2.5019755407610162
bug_clip5.mp4,1071,35.7,533,858,509,821,553,893,14.929725363489496,7.292407108239094,58.57043438516149,14.929725363489496,7.046042003231016,64.6944808959961,1,0.24636510500807773,6.124046510834603
bug_clip5.mp4,1143,38.1,736,669,692,671,781,665,24.932148626817444,16.605008077544422,176.14319901441016,24.68578352180937,16.605008077544422,172.38661193847656,1,0.24636510500807418,3.756587075933595
bug_clip5.mp4,1198,39.93333333333333,758,732,712,741,798,724,26.016155088852983,13.500807754442649,168.8182457898033,25.769789983844905,13.451534733441031,172.64830017089844,1,0.2512440955809052,3.830054381095124
bug_clip5.mp4,1308,43.6,642,493,615,459,670,529,20.300484652665585,25.27705977382875,51.84277341263094,20.15266558966074,25.227786752827136,56.999908447265625,1,0.15581497356241508,5.157135034634685
bug_clip5.mp4,1507,50.23333333333333,586,972,574,1016,597,932,17.54119547657512,1.675282714054927,105.31281836080628,17.442649434571887,1.675282714054927,99.12477111816406,1,0.0985460420032318,6.188047242642213
bug_clip5.mp4,1611,53.7,776,984,733,1003,815,969,26.903069466882062,1.084006462035541,157.47943439710312,26.755250403877216,1.0347334410339255,158.932861328125,1,0.15581497356241553,1.4534269310218804
bug_clip5.mp4,1912,63.73333333333333,293,386,257,380,335,394,3.1042003231017765,30.54927302100161,10.175510843043208,3.350565428109854,30.352180936995147,6.611475467681885,1,0.31550127502698283,3.564035375361323
bug_clip5.mp4,2006,66.86666666666666,281,401,254,376,314,431,2.5129240710823906,29.810177705977377,42.51044707800085,3.2027463651050074,28.726171243941835,33.64073944091797,1,1.284883188101331,8.869707637082882
bug_clip5.mp4,2031,67.7,274,407,256,446,289,375,2.168012924071082,29.51453957996769,114.92847413546129,2.069466882067851,28.77544426494345,107.52387237548828,1,0.745636109027241,7.404601759973005
bug_clip5.mp4,2078,69.26666666666667,253,669,248,713,257,629,1.1332794830371564,16.605008077544422,96.1155035662854,1.0347334410339255,16.555735056542808,91.45748138427734,1,0.11017782441638635,4.658022182008054
bug_clip6.mp4,392,13.066666666666666,230,1001,188,1021,275,979,1.879551820728287,1.5378151260504167,154.2306723756613,,,,0,,
bug_clip6.mp4,437,14.566666666666666,262,932,238,889,284,974,3.246498599439769,4.485294117647049,61.578790775473145,3.2892156862745026,4.314425770308113,62.86025619506836,1,0.17612706103828965,1.2814654195952144
bug_clip6.mp4,480,16.0,348,852,321,812,376,897,6.920168067226875,7.902661064425753,57.094757077012105,6.792016806722674,8.030812324929954,59.80563354492188,1,0.18123325064024895,2.7108764679097774
bug_clip6.mp4,486,16.2,328,902,288,929,370,879,6.065826330532199,5.766806722689062,148.62699485989154,6.1939775910364006,5.7240896358543285,145.9876708984375,1,0.1350832894049513,2.639323961454039
bug_clip6.mp4,627,20.9,439,734,400,710,484,765,10.80742296918765,12.94327731092434,33.2152514937372,10.764705882352915,12.81512605042014,33.44013595581055,1,0.13508328940495073,0.2248844620733479
bug_clip6.mp4,709,23.633333333333333,543,699,540,753,548,649,15.249999999999966,14.438375350140024,94.39870535499551,15.249999999999966,14.481092436974755,92.80423736572266,1,0.04271708683473108,1.5944679892728573
bug_clip6.mp4,811,27.03333333333333,570,833,537,800,606,875,16.403361344537778,8.714285714285694,47.38594403038881,16.275210084033578,8.500700280112026,50.90584564208984,1,0.24908127842126074,3.519901611701023
bug_clip6.mp4,862,28.73333333333333,546,983,514,1025,577,948,15.378151260504168,2.306722689075625,129.28940686250036,15.4208683473389,2.349439775910359,123.68058013916016,1,0.06041108354674776,5.608826723340201
