video,frame,time_s,center_x_px,center_y_px,axis1_x_px,axis1_y_px,axis2_x_px,axis2_y_px,x_GT,y_GT,theta_GT,x_cm,y_cm,theta,detected,position_error_cm
bug_clip5.mp4,526,17.533333333333335,474,897,481,856,467,935,12.022617124394182,5.37075928917609,100.04934858812489,12.022617124394182,5.114539579967689,97.52980804443372,1,0.2562197092084011
bug_clip5.mp4,602,20.066666666666663,856,559,861,517,848,606,30.844911147011302,22.02504038772213,98.3102771675242,30.64781906300484,21.60129240710824,102.38783264160156,1,0.4673410324937882
bug_clip5.mp4,675,22.5,637,394,592,401,681,389,20.054119547657507,30.155088852988687,172.3210361926313,20.06397415185783,30.17479806138933,165.1710205078125,1,0.022035564883273615
bug_clip5.mp4,887,29.566666666666663,815,993,779,969,851,1017,28.824717285945063,0.6405492730210015,33.690067525979785,27.538691437802903,0.9706785137318252,38.49970245361328,1,1.3277227864513232
bug_clip5.mp4,1009,33.63333333333333,710,944,671,917,742,969,23.65105008077544,3.054927302100161,36.21883726561454,23.51308562197092,3.035218093699515,33.71686172485352,1,0.1393651491191563
bug_clip5.mp4,1071,35.7,533,858,509,821,553,893,14.929725363489496,7.292407108239094,58.57043438516149,14.988852988691434,7.065751211631662,64.6944808959961,1,0.23424126777521453
bug_clip5.mp4,1143,38.1,736,669,692,671,781,665,24.932148626817444,16.605008077544422,176.14319901441016,24.646365105008076,16.506462035541194,172.38661193847656,1,0.3022971116836337
bug_clip5.mp4,1198,39.93333333333333,758,732,712,741,798,724,26.016155088852983,13.500807754442649,168.8182457898033,25.75993537964458,13.481098546042,172.64830017089844,1,0.25697663762026746
bug_clip5.mp4,1308,43.6,642,493,615,459,670,529,20.300484652665585,25.27705977382875,51.84277341263094,20.044264943457183,25.17851373182552,56.99990844726608,1,0.27451750724013957
bug_clip5.mp4,1507,50.23333333333333,586,972,574,1016,597,932,17.54119547657512,1.675282714054927,105.31281836080628,17.344103392568655,1.7639741518578351,99.1247711181668,1,0.2161283431610904
bug_clip5.mp4,1611,53.7,776,984,733,1003,815,969,26.903069466882062,1.084006462035541,157.47943439710312,26.63699515347334,1.0544426494345718,158.93286132812773,1,0.267711709253496
bug_clip5.mp4,1912,63.73333333333333,293,386,257,380,335,394,3.1042003231017765,30.54927302100161,10.175510843043208,3.281583198707592,30.431017770597737,6.611475467685523,1,0.213187684462004
bug_clip5.mp4,2006,66.86666666666666,281,401,254,376,314,431,2.5129240710823906,29.810177705977377,42.51044707800085,3.183037156704361,28.69660743134087,33.64073944092161,1,1.2996500698556621
bug_clip5.mp4,2031,67.7,274,407,256,446,289,375,2.168012924071082,29.51453957996769,114.92847413546129,2.1581583198707586,28.83457189014539,107.523872375491,1,0.6800390962483102
bug_clip5.mp4,2078,69.26666666666667,253,669,248,713,257,629,1.1332794830371564,16.605008077544422,96.1155035662854,1.1628432956381256,16.62471728594507,91.45748138428098,1,0.03553128074366892
bug_clip6.mp4,392,13.066666666666666,230,1001,188,1021,275,979,1.879551820728287,1.5378151260504167,154.2306723756613,2.9962985194077563,1.6903761504601804,144.0344456263951,0,1.1271193615498092
bug_clip6.mp4,437,14.566666666666666,262,932,238,889,284,974,3.246498599439769,4.485294117647049,61.578790775473145,3.3746498599439696,4.331512605042007,62.86025619506836,1,0.20017866816399377
bug_clip6.mp4,480,16.0,348,852,321,812,376,897,6.920168067226875,7.902661064425753,57.094757077012105,6.638235294117632,7.979551820728274,59.80563354492199,1,0.292229835844736
bug_clip6.mp4,486,16.2,328,902,288,929,370,879,6.065826330532199,5.766806722689062,148.62699485989154,6.099999999999986,5.775350140056009,145.9876708984375,1,0.03522541220765776
bug_clip6.mp4,627,20.9,439,734,400,710,484,765,10.80742296918765,12.94327731092434,33.2152514937372,10.636554621848717,12.763865546218458,33.440135955811,1,0.24775910364145512
bug_clip6.mp4,709,23.633333333333333,543,699,540,753,548,649,15.249999999999966,14.438375350140024,94.39870535499551,15.1645658263305,14.575070028011172,92.80423736572402,1,0.16119687648611972
bug_clip6.mp4,811,27.03333333333333,570,833,537,800,606,875,16.403361344537778,8.714285714285694,47.38594403038881,16.232492997198843,8.449439775910346,50.90584564209257,1,0.3151814766071409
bug_clip6.mp4,862,28.73333333333333,546,983,514,1025,577,948,15.378151260504168,2.306722689075625,129.28940686250036,15.4208683473389,2.571568627450975,123.6805801391638,1,0.2682687469340502
bug_clip6.mp4,1061,35.36666666666667,860,998,817,967,901,1027,28.79131652661058,1.6659663865546182,35.53767779197438,28.35560224089629,1.7855742296918726,36.27954101562955,1,0.45183290596796993
bug_clip6.mp4,1094,36.46666666666667,857,984,827,1031,880,948,28.66316526610638,2.2640056022408914,122.56043798115344,28.517927170868283,2.306722689075625,122.89506530762172,1,0.15138974144913622
bug_clip6.mp4,1489,49.63333333333333,788,874,737,863,836,886,25.715686274509743,6.962885154061609,13.07912378006682,25.459383753501346,6.817647058823513,5.630790710445581,1,0.2945930864491731
bug_clip6.mp4,1552,51.73333333333333,844,974,800,1000,887,951,28.10784313725484,2.6911764705882293,150.61098853367966,27.5525210084033,2.383613445378146,150.96957397460392,1,0.6348052309713462
bug_clip6.mp4,1619,53.96666666666667,889,343,890,293,886,391,30.03011204481786,29.64565826330525,92.33730585912382,29.859243697478924,29.36372549019601,93.65290832519167,1,0.3296696538588366
bug_clip6.mp4,1647,54.9,887,335,862,377,908,296,29.9446778711484,29.987394957983124,119.59229635935796,29.671288515406093,29.55168067226884,113.63651275634402,1,0.5143818412509344
bug_clip6.mp4,2023,67.43333333333334,877,321,834,343,926,299,29.517507002801054,30.5854341736694,154.44003482817618,28.574445162680394,29.888817065287583,174.9474377754359,0,1.1724508646344252
bug_clip5.mp4,700,23.33333333333333,462,395,421,374,497,415,11.431340872374795,30.10581583198707,28.345693623076677,11.332794830371563,29.92843295638125,37.00071334838856,1,0.2029187200646901
bug_clip5.mp4,1073,35.766666666666666,533,844,522,804,541,880,14.929725363489496,7.982229402261711,75.96375653207353,14.841033925686588,7.873828756058157,81.15763854980469,1,0.14006024145665022
bug_clip6.mp4,2350,78.33333333333333,845,425,796,449,890,405,28.15056022408957,26.14285714285709,154.9164059938091,27.9540616246498,26.04033613445372,151.18070983885627,1,0.221635414015529
bug_clip6.mp4,2376,79.2,661,316,610,299,701,329,20.290616246498555,30.799019607843068,18.24585452757825,20.119747899159616,30.5854341736694,19.79841613768258,1,0.2735228140640074
