frame,x_cm,y_cm,theta,detected
300,,,,0
301,,,,0
302,,,,0
303,,,,0
304,,,,0
305,28.627625201938606,1.97092084006462,32.473289489746094,1
306,28.233441033925683,2.4143780290791597,6.815861701965332,1
307,,,,0
308,,,,0
309,,,,0
310,,,,0
311,,,,0
312,,,,0
313,,,,0
314,,,,0
315,,,,0
316,,,,0
317,,,,0
318,,,,0
319,,,,0
320,,,,0
321,,,,0
322,,,,0
323,,,,0
324,,,,0
325,,,,0
326,27.888529886914373,0.098546042003231,25.905241012573242,1
327,27.740710823909527,0.197092084006462,28.566125869750977,1
328,27.59289176090468,0.2463651050080775,29.050264358520508,1
329,,,,0
330,,,,0
331,,,,0
332,,,,0
333,,,,0
334,,,,0
335,,,,0
336,,,,0
337,,,,0
338,,,,0
339,,,,0
340,,,,0
341,,,,0
342,,,,0
343,,,,0
344,,,,0
345,,,,0
346,,,,0
347,,,,0
348,,,,0
349,,,,0
350,,,,0
351,,,,0
352,,,,0
353,,,,0
354,,,,0
355,,,,0
356,,,,0
357,,,,0
358,,,,0
359,,,,0
360,,,,0
361,,,,0
362,29.071082390953144,2.3158319870759283,43.461910247802734,1
363,29.21890145395799,2.3158319870759283,50.87211227416992,1
364,29.317447495961222,2.3158319870759283,57.20101547241211,1
365,29.465266558966068,2.3158319870759283,60.12712860107422,1
366,29.5638126009693,2.168012924071082,61.49958038330078,1
367,29.5638126009693,2.168012924071082,58.6820182800293,1
368,29.5638126009693,2.168012924071082,61.893367767333984,1
369,29.5638126009693,2.3158319870759283,60.55600357055664,1
370,29.514539579967686,2.463651050080775,60.83660125732422,1
371,29.317447495961222,2.4143780290791597,55.50993347167969,1
372,29.415993537964454,2.3158319870759283,50.79249954223633,1
373,29.317447495961222,2.3651050080775438,57.098228454589844,1
374,29.268174474959608,2.3651050080775438,60.808349609375,1
375,29.120355411954762,2.660743134087237,55.35593032836914,1
376,28.972536348949912,2.562197092084006,45.61800003051758,1
377,28.726171243941835,2.9071082390953147,39.96923065185547,1
378,28.67689822294022,2.8085621970920833,27.334674835205078,1
379,28.627625201938606,2.8085621970920833,25.724124908447266,1
380,28.775444264943452,2.759289176090468,7.6843438148498535,1
381,28.67689822294022,2.8085621970920833,172.96507263183594,1
382,28.67689822294022,2.857835218093699,175.90281677246094,1
383,28.627625201938606,2.857835218093699,22.775606155395508,1
384,28.57835218093699,2.759289176090468,164.91375732421875,1
385,,,,0
386,,,,0
387,28.67689822294022,2.759289176090468,136.1688232421875,1
388,28.972536348949912,2.759289176090468,7.4693756103515625,1
389,29.169628432956376,2.9071082390953147,19.117332458496094,1
390,29.465266558966068,2.759289176090468,56.85309982299805,1
391,29.514539579967686,2.759289176090468,57.20297622680664,1
392,29.66235864297253,2.8085621970920833,63.9750862121582,1
393,29.66235864297253,2.8085621970920833,63.09246063232422,1
394,29.613085621970914,2.9071082390953147,62.565486907958984,1
395,29.5638126009693,3.0056542810985456,47.32913589477539,1
396,29.415993537964454,3.153473344103392,58.70866775512695,1
397,29.85945072697899,-0.29563812600969297,70.46184539794922,1
398,29.760904684975763,-0.197092084006462,78.9698715209961,1
399,29.66235864297253,-0.098546042003231,65.2813949584961,1
400,29.514539579967686,0.0492730210016155,58.19029998779297,1
401,26.80452342487883,0.4434571890145395,141.2547607421875,1
402,26.213247172859447,0.4434571890145395,153.15560913085938,1
403,25.91760904684975,0.7390953150242325,166.54620361328125,1
404,25.62197092084006,0.9361873990306945,179.84341430664062,1
405,25.37560581583198,1.1332794830371564,16.510990142822266,1
406,24.833602584814212,1.3303715670436185,16.722612380981445,1
407,24.291599353796443,1.5274636510500805,14.74296760559082,1
408,23.65105008077544,1.7245557350565426,14.343975067138672,1
409,23.01050080775444,2.0201938610662356,8.1575345993042,1
410,22.468497576736667,2.266558966074313,14.721357345581055,1
411,21.926494345718897,2.463651050080775,16.625600814819336,1
412,21.285945072697896,2.660743134087237,13.935831069946289,1
413,20.49757673667205,2.9071082390953147,11.91679573059082,1
414,19.7092084006462,3.2027463651050074,11.547467231750488,1
415,18.822294022617122,3.4983844911147006,10.775850296020508,1
416,17.886106623586425,3.744749596122778,11.732064247131348,1
417,17.048465266558964,4.040387722132471,10.287918090820312,1
418,16.260096930533116,4.286752827140549,10.193506240844727,1
419,15.915185783521807,4.582390953150242,30.422313690185547,1
420,15.570274636510497,4.878029079159934,36.13530349731445,1
421,15.22536348949919,5.272213247172859,48.93159866333008,1
422,14.929725363489496,5.715670436187398,61.02496337890625,1
423,14.683360258481418,6.109854604200322,58.69647216796875,1
424,14.486268174474956,6.602584814216477,64.5589828491211,1
425,14.33844911147011,7.046042003231016,69.4617691040039,1
426,14.23990306946688,7.538772213247172,78.05711364746094,1
427,14.190630048465264,8.080775444264942,82.20014190673828,1
428,14.141357027463648,8.573505654281098,82.15611267089844,1
429,14.141357027463648,9.164781906300483,78.97578430175781,1
430,14.141357027463648,9.706785137318253,82.59903717041016,1
431,14.092084006462033,10.39660743134087,83.22918701171875,1
432,14.042810985460417,10.987883683360256,82.38566589355469,1
433,14.092084006462033,11.529886914378027,82.47615814208984,1
434,14.141357027463648,11.973344103392566,83.2157211303711,1
435,14.141357027463648,12.466074313408722,84.80301666259766,1
436,14.141357027463648,12.958804523424876,86.33464813232422,1
437,14.141357027463648,13.451534733441031,85.85302734375,1
438,14.190630048465264,13.993537964458802,92.748046875,1
439,14.23990306946688,14.535541195476572,95.71331787109375,1
440,14.387722132471726,14.978998384491112,90.6156234741211,1
441,14.634087237479804,15.422455573505651,99.3686294555664,1
442,14.978998384491112,15.816639741518575,109.60428619384766,1
443,15.323909531502421,16.161550888529884,119.04857635498047,1
444,15.76736672051696,16.457189014539576,127.29308319091797,1
445,16.2108239095315,16.65428109854604,136.3394775390625,1
446,16.703554119547654,16.703554119547654,155.7216033935547,1
447,17.19628432956381,16.703554119547654,175.10206604003906,1
448,17.689014539579965,16.555735056542808,12.192660331726074,1
449,18.08319870759289,16.30936995153473,29.657909393310547,1
450,18.477382875605812,15.915185783521807,43.430145263671875,1
451,18.871567043618736,15.471728594507267,53.861244201660156,1
452,19.167205169628428,14.978998384491112,63.299129486083984,1
453,19.26575121163166,14.436995153473342,75.58051300048828,1
454,19.36429725363489,13.944264943457187,81.8826904296875,1
455,19.26575121163166,13.451534733441031,96.42862701416016,1
456,19.019386106623582,13.057350565428107,113.13792419433594,1
457,18.674474959612276,12.613893376413568,122.35896301269531,1
458,18.329563812600966,12.219709208400644,145.3103485107422,1
459,17.886106623586425,12.022617124394182,157.48187255859375,1
460,17.442649434571887,11.874798061389335,171.30099487304688,1
461,16.94991922455573,11.874798061389335,177.21710205078125,1
462,16.506462035541194,11.92407108239095,4.707586765289307,1
463,16.01373182552504,12.022617124394182,2.5603229999542236,1
464,15.373182552504035,12.022617124394182,1.9057694673538208,1
465,14.732633279483034,12.121163166397412,4.273486614227295,1
466,14.33844911147011,12.26898222940226,16.573450088500977,1
467,13.944264943457187,12.515347334410336,29.598421096801758,1
468,13.599353796445877,12.81098546042003,44.69500732421875,1
469,13.352988691437801,13.205169628432953,46.80304718017578,1
470,13.15589660743134,13.599353796445877,65.88140869140625,1
471,13.008077544426492,14.092084006462033,80.14002990722656,1
472,13.008077544426492,14.584814216478188,84.54930114746094,1
473,13.15589660743134,14.978998384491112,88.86666107177734,1
474,13.352988691437801,15.373182552504035,97.5407485961914,1
475,13.599353796445877,15.816639741518575,109.20075988769531,1
476,13.944264943457187,16.260096930533116,114.0898208618164,1
477,14.33844911147011,16.65428109854604,121.1045913696289,1
478,14.78190630048465,16.999192245557346,133.16908264160156,1
479,15.176090468497573,17.245557350565424,137.70004272460938,1
480,15.668820678513729,17.442649434571887,137.74200439453125,1
481,16.112277867528267,17.54119547657512,149.03738403320312,1
482,16.555735056542808,17.639741518578347,156.86996459960938,1
483,17.097738287560578,17.639741518578347,163.74110412597656,1
484,17.639741518578347,17.54119547657512,178.3280487060547,1
485,18.18174474959612,17.393376413570273,16.85645294189453,1
486,18.773021001615504,17.147011308562195,32.315120697021484,1
487,19.315024232633277,16.8513731825525,42.6688346862793,1
488,19.80775444264943,16.506462035541194,45.958740234375,1
