frame,x_cm,y_cm,theta,detected
300,16.73035439137131,13.957627118644044,174.77528381347656,0
301,16.73035439137131,13.957627118644044,174.77528381347656,0
302,16.73035439137131,13.957627118644044,174.77528381347656,0
303,16.73035439137131,13.957627118644044,174.77528381347656,0
304,16.852542372881324,13.938828967642504,174.77528381347656,0
305,17.143913713405205,13.901232665639423,174.77528381347656,1
306,17.53867488443756,13.797842835130947,15.524223327636719,1
307,18.027426810477625,13.60986132511554,17.43091583251953,1
308,18.525577812018454,13.384283513097051,24.73155403137207,1
309,18.939137134052352,13.083513097072398,17.890823364257812,1
310,19.11771956856699,12.90493066255776,40.86972427368164,1
311,19.315100154083172,12.275192604006142,49.68100357055664,1
312,19.371494607087794,11.673651771956838,44.39826202392578,1
313,19.333898305084713,11.043913713405221,50.35480499267578,1
314,19.16471494607085,10.461171032357454,80.3920669555664,1
315,18.939137134052356,9.718644067796593,81.49264526367188,1
316,18.48798151001538,9.464869029275793,98.99059295654297,1
317,18.018027734976855,9.258089368258844,106.69329833984375,1
318,17.529275808936795,9.117103235747287,119.19924926757818,1
319,17.031124807395965,9.004314329738042,137.69766235351562,1
320,16.532973805855136,8.929121725731878,135.99803161621088,1
321,16.053620955315843,8.891525423728798,143.8401489257813,1
322,15.668258859784256,8.90092449922957,146.22195434570307,1
323,15.28289676425267,8.94791987673342,156.6376953125,1
324,14.906933744221854,9.060708782742665,2.2190279960632324,1
325,14.596764252696431,9.248690292758074,11.596837997436523,1
326,14.333590138674861,9.502465331278875,22.821325302124023,1
327,14.014021571648666,9.775038520801218,38.45871353149414,1
328,13.807241910631717,10.057010785824328,56.23503494262695,1
329,13.685053929121702,10.3201848998459,72.38613891601557,1
330,13.619260400616309,10.59275808936824,85.48617553710938,1
331,13.619260400616309,10.865331278890583,98.8556900024414,1
332,13.844838212634798,11.250693374422168,107.54032897949219,1
333,14.305392912172547,11.692449922958378,140.31143188476562,1
334,14.888135593220312,12.059013867488423,153.00070190429688,1
335,15.499075500770388,12.340986132511535,179.05128479003906,1
336,16.1946070878274,12.500770416024633,15.400622367858887,1
337,16.767950693374395,12.416178736517699,10.652369499206543,1
338,17.143913713405208,12.143605546995357,24.592975616455078,1
339,17.425885978428322,11.842835130970705,48.44289016723633,1
340,17.67966101694912,11.457473035439119,63.26791763305664,1
341,17.792449922958365,10.996918335901368,80.57913208007812,1
342,17.783050847457595,10.545762711864388,94.49327850341797,1
343,17.660862865947582,10.11340523882895,109.98613739013672,1
344,17.416486902927552,9.690446841294282,120.4126205444336,1
345,17.08751926040059,9.323882896764237,133.13414001464844,1
346,16.673959938366686,9.032511556240355,137.257110595703,1
347,16.21340523882894,8.797534668721095,144.05642700195312,1
348,15.73405238828965,8.637750385207998,151.46995544433594,1
